original_sha	first_rewrite_sha	remediation_sha	composition
8f2711859269a9b92d2473b211b5b91fff753c2f	9598bb4aa312577370cf9468d1720fa1fe2e483f	7b2917d578fee8787745c919630d5e323a98103d	direct-original-second-snapshot-github-managed-ref
8fd9785821bb7fa6548278b3ff1b0e4c53d409a5	5c1b2ddf5e5a399b72343da35e84ac69c7fb0b84	ad792c39f167015737d00e780b85dda6316d024e	direct-original-second-snapshot-github-managed-ref
903d349abd93cba98ad1503b038b95d76f38e007	758a6fd04af0bde50a5877ddd71035dca94df9d2	489358e1803d24228f54b6255c4ddbc2567ebeeb	direct-original-second-snapshot-github-managed-ref
904792d44fa430bc392faac792d1e2811d16c90b	17c651ee084b6bb12df5000eab6b0db2e38f5ded	6fa7dd5bbf4039d11821d91ea34240a779c08779	direct-original-second-snapshot-github-managed-ref
907781a1de51d31b50354005740967cde8cd7d92	857f0f0168d958046ce33df9236c45f157b69a6c	a5c623897d9f5ad53d319ac9025fa59aebd8d474	direct-original-second-snapshot-github-managed-ref
909ee8c0e31eaf271861d0bc8cf1c6649dc8782e	b816424a9319d1ec6d8a102879abb06df045e5d3	9e1a1b34c0e7baa51561d77b2d6050ef701d77b5	direct-original-second-snapshot-github-managed-ref
91445adb6ccd1a2249255e82f589b09968f76675	622338e9e9b5d738d7765f8ee583c53c6d1c3e9e	de5cda0f88b9ece0485316d946e2615ecab301e3	composed-original-first-remediation
92b8899c4aee372637ef5078dbe63c64561cb060	a1540fa117ccb52cb93b790fcc53e723e6291ec8	51d994e2ee6c3a862084e0ca7ad454f30793812a	composed-original-first-remediation
93344ddb89cd3b74c77f3adef14262d33abd095a	ff413df531b9ce8bd1c9615ebed42f44d79459c6	dc3a0e6b7d951f59212430c754e41e4055621872	direct-original-second-snapshot-github-managed-ref
94393fcaccfc19d759bc85ca5c895d25fb6f2bc4	9dfc321ea37b208c347854c3ef194c4cdc1d75d9	b1cf87d4659fd0b38fcf51f58c5b9cdaaefbc184	composed-original-first-remediation
97142425ff1108c6ee9fac66c02c14f08473a240	3fb9f5e9893286d0277b8cda3bebdd019ec60f74	163ba017fdc35d4b0f35aaed222a78cb88b33d23	composed-original-first-remediation
989c6ddff5179b9b3ef6248d52a5c412e2bd5e60	e6c8bb19247445bd5d61653095873732f5ff1f01	23378b524b1b70560e8e50aca6005f31e106fc36	direct-original-second-snapshot-github-managed-ref
9a31fe3da85c1cf516f9132f2c3069cd50898165	0714c5f0a2773e15eabef8b0b87949697e5d5d06	f465152f8ed52735b119e364106a493f23468796	direct-original-second-snapshot-github-managed-ref
9b7b4d12aa21fa987b188fee925ae38085d6b7c1	443a49e4ce930913cd7e4883625b3bb226b24677	925724afd93d11920169ff864f832b34694037e4	direct-original-second-snapshot-github-managed-ref
